Test,First,Function,Iterations,GA%,PSO%,GA iterations,PSO iterations,X,Y
1,GA,2,20,100.0%,0.0%,20.0,0.0,0.2285,0.4434
1,GA,2,20,80.0%,20.0%,16.0,4.0,0.5296,-0.1627
1,GA,2,20,60.00000000000001%,40.0%,12.000000000000002,8.0,1.5492,-0.6833
1,GA,2,20,40.00000000000001%,60.00000000000001%,8.000000000000002,12.000000000000002,0.1427,0.4708
1,GA,2,20,20.000000000000007%,80.0%,4.000000000000002,16.0,1.5499,-0.6835
1,PSO,2,20,0.0%,100.0%,0.0,20.0,1.7182,-0.1988
1,PSO,2,20,20.0%,80.0%,4.0,16.0,1.7489,-0.5593
1,PSO,2,20,40.0%,60.00000000000001%,8.0,12.000000000000002,1.5494,-0.6834
1,PSO,2,20,60.00000000000001%,40.00000000000001%,12.000000000000002,8.000000000000002,1.5499,-0.6835
1,PSO,2,20,80.0%,20.000000000000007%,16.0,4.000000000000002,1.5498,-0.6835
1,GA,2,40,100.0%,0.0%,40.0,0.0,1.1686,-0.487
1,GA,2,40,80.0%,20.0%,32.0,8.0,1.5436,-0.6685
1,GA,2,40,60.00000000000001%,40.0%,24.000000000000004,16.0,1.5494,-0.6834
1,GA,2,40,40.00000000000001%,60.00000000000001%,16.000000000000004,24.000000000000004,1.5499,-0.6835
1,GA,2,40,20.000000000000007%,80.0%,8.000000000000004,32.0,1.5497,-0.6835
1,PSO,2,40,0.0%,100.0%,0.0,40.0,1.7715,-0.3369
1,PSO,2,40,20.0%,80.0%,8.0,32.0,1.7455,-0.5551
1,PSO,2,40,40.0%,60.00000000000001%,16.0,24.000000000000004,1.5501,-0.6834
1,PSO,2,40,60.00000000000001%,40.00000000000001%,24.000000000000004,16.000000000000004,1.5513,-0.6827
1,PSO,2,40,80.0%,20.000000000000007%,32.0,8.000000000000004,1.5513,-0.6827
1,GA,2,60,100.0%,0.0%,60.0,0.0,1.4055,0.1459
1,GA,2,60,80.0%,20.0%,48.0,12.0,1.5497,-0.6835
1,GA,2,60,60.00000000000001%,40.0%,36.00000000000001,24.0,1.5502,-0.6834
1,GA,2,60,40.00000000000001%,60.00000000000001%,24.000000000000004,36.00000000000001,1.5498,-0.6835
1,GA,2,60,20.000000000000007%,80.0%,12.000000000000004,48.0,1.5498,-0.6835
1,PSO,2,60,0.0%,100.0%,0.0,60.0,1.7188,-0.2116
1,PSO,2,60,20.0%,80.0%,12.0,48.0,1.5513,-0.6827
1,PSO,2,60,40.0%,60.00000000000001%,24.0,36.00000000000001,1.5614,-0.6318
1,PSO,2,60,60.00000000000001%,40.00000000000001%,36.00000000000001,24.000000000000004,1.5495,-0.6834
1,PSO,2,60,80.0%,20.000000000000007%,48.0,12.000000000000004,1.5495,-0.6834
1,GA,2,80,100.0%,0.0%,80.0,0.0,0.3719,0.012
1,GA,2,80,80.0%,20.0%,64.0,16.0,1.5498,-0.6835
1,GA,2,80,60.00000000000001%,40.0%,48.00000000000001,32.0,1.5498,-0.6835
1,GA,2,80,40.00000000000001%,60.00000000000001%,32.00000000000001,48.00000000000001,1.5498,-0.6835
1,GA,2,80,20.000000000000007%,80.0%,16.000000000000007,64.0,1.5498,-0.6835
1,PSO,2,80,0.0%,100.0%,0.0,80.0,1.1206,-0.3376
1,PSO,2,80,20.0%,80.0%,16.0,64.0,1.5488,-0.683
1,PSO,2,80,40.0%,60.00000000000001%,32.0,48.00000000000001,1.5513,-0.6827
1,PSO,2,80,60.00000000000001%,40.00000000000001%,48.00000000000001,32.00000000000001,1.5495,-0.6834
1,PSO,2,80,80.0%,20.000000000000007%,64.0,16.000000000000007,1.5495,-0.6834
1,GA,2,100,100.0%,0.0%,100.0,0.0,0.7401,-0.3473
1,GA,2,100,80.0%,20.0%,80.0,20.0,1.5504,-0.6833
1,GA,2,100,60.00000000000001%,40.0%,60.00000000000001,40.0,1.5499,-0.6835
1,GA,2,100,40.00000000000001%,60.00000000000001%,40.00000000000001,60.00000000000001,1.5498,-0.6835
1,GA,2,100,20.000000000000007%,80.0%,20.000000000000007,80.0,1.5498,-0.6835
1,PSO,2,100,0.0%,100.0%,0.0,100.0,1.2998,0.0125
1,PSO,2,100,20.0%,80.0%,20.0,80.0,1.5383,-0.6338
1,PSO,2,100,40.0%,60.00000000000001%,40.0,60.00000000000001,1.5497,-0.6835
1,PSO,2,100,60.00000000000001%,40.00000000000001%,60.00000000000001,40.00000000000001,1.5495,-0.6834
1,PSO,2,100,80.0%,20.000000000000007%,80.0,20.000000000000007,1.5495,-0.6834
